date,tweet_count
2024-08-21,3
2024-08-26,1
2024-08-27,1
2024-09-12,2
2024-09-19,1
2024-09-22,2
2024-09-28,1
2024-09-29,1
2024-10-05,1
2024-10-12,1
2024-10-31,2
2024-11-08,1
2024-11-14,1
2024-11-15,27
2024-11-16,13
2024-11-17,5
2024-11-18,1
2024-11-19,1
2024-11-20,4
2024-11-21,3
2024-11-29,2
2024-12-06,2
2024-12-07,1
2024-12-09,2
2024-12-10,1
2024-12-11,6
2024-12-12,1
2024-12-15,1
2024-12-19,1
2024-12-20,2
2024-12-21,1
2024-12-22,1
2024-12-24,1
2024-12-26,1
2024-12-27,1
2024-12-28,1
2024-12-29,1
